OBJECTID,Country Name,"Oral, Head, & Neck Surgeons","Oral, Head & Neck Surgeons per Capita",Information Sources,Shape__Area,Shape__Length
80,Niue,1,61.73,Official government agency (e.g. Ministry of Health),280736408.507813,62159.2234941579
81,Norway,500,9.3,Professional otolaryngology/ ear nose and throat (ENT) society or association,1767225187888.84,45518569.8714081
82,Panama,80,1.85,Professional otolaryngology/ ear nose and throat (ENT) society or association,76289405631.3535,2830142.24777437
83,Papua New Guinea,7,0.08,Official government agency (e.g. Ministry of Health),471431636490.741,9971053.084904
84,Paraguay,126,1.77,Professional otolaryngology/ ear nose and throat (ENT) society or association,475250161200.464,3586265.47426034
85,Peru,200,0.61,Official government agency (e.g. Ministry of Health),1341056112317.96,7661810.795755
86,Philippines,890,0.8,Professional otolaryngology/ ear nose and throat (ENT) society or association,308278250367.141,14672772.8633833
87,Qatar,,,,13637797144.7383,570188.728179303
88,Romania,800,4.15,Professional otolaryngology/ ear nose and throat (ENT) society or association,489457895436.723,3713574.90734376
89,Rwanda,22,0.17,Professional otolaryngology/ ear nose and throat (ENT) society or association,25337629689.734,797307.826684945
90,Samoa,1,0.51,Other,3132370931.30078,338821.839881795
91,Saudi Arabia,,,,2332215250248.47,7899582.39551483
92,Senegal,,,,210193760691.678,3491129.6419221
93,Sierra Leone,2,0.03,Official government agency (e.g. Ministry of Health),74617517389.0015,1544695.04824762
94,Singapore,180,3.17,Professional otolaryngology/ ear nose and throat (ENT) society or association,555168246.717773,95530.5482803443
95,Slovakia,500,9.16,Professional otolaryngology/ ear nose and throat (ENT) society or association,112269957093.736,1829935.12994582
96,Slovenia,100,4.76,Professional otolaryngology/ ear nose and throat (ENT) society or association,42500651689.0645,1243044.34768224
97,Solomon Islands,1,0.15,Other,27838237929.2344,3409346.22402656
98,South Africa,260,0.44,Professional otolaryngology/ ear nose and throat (ENT) society or association,1606393079349.56,8144655.42341581
99,South Korea,3000,5.79,Professional otolaryngology/ ear nose and throat (ENT) society or association,150377054714.82,3530411.96990436
100,South Sudan,5,0.04,Professional otolaryngology/ ear nose and throat (ENT) society or association,648385396668.68,4685963.10428048
101,Spain,3000,6.34,Professional otolaryngology/ ear nose and throat (ENT) society or association,862030217637.931,6364613.9312678
102,Sri Lanka,60,0.27,Official government agency (e.g. Ministry of Health),67671266175.2192,1567414.36125344
103,Sudan,160,0.36,Professional otolaryngology/ ear nose and throat (ENT) society or association,2025297471742.93,7398720.87895375
104,Sweden,700,6.76,Official government agency (e.g. Ministry of Health),2164148174272.27,14666056.4633578
105,Syria,,,,281090634589.854,2710279.61840358
106,Tanzania,55,0.09,Professional otolaryngology/ ear nose and throat (ENT) society or association,961106871739.624,5074312.83570781
107,Thailand,2000,2.87,Professional otolaryngology/ ear nose and throat (ENT) society or association,554853994564.995,7416238.95480255
108,Togo,16,0.19,Professional otolaryngology/ ear nose and throat (ENT) society or association,58813155823.7678,1573499.5804844
109,Tonga,2,1.89,Other,529249093.699219,149726.362055996
110,Turkiye,3200,3.79,Official government agency (e.g. Ministry of Health),1296779098640.36,9290167.57778333
111,Uganda,45,0.1,Professional otolaryngology/ ear nose and throat (ENT) society or association,243968631165.866,2366274.0820274
112,United Kingdom,1200,1.78,Professional otolaryngology/ ear nose and throat (ENT) society or association,714579904683.708,16135216.018616
113,United States,11000,3.31,Medical licensing board,21728946702329.3,99206991.489991
114,Uruguay,160,4.59,Professional otolaryngology/ ear nose and throat (ENT) society or association,252574263302.99,2237506.87918013
115,Venezuela,458,1.61,Professional otolaryngology/ ear nose and throat (ENT) society or association,932899501901.344,8603394.95843379
116,Vietnam,1800,1.83,Professional otolaryngology/ ear nose and throat (ENT) society or association,357796185390.094,7604244.34865614
117,Zambia,6,0.03,Professional otolaryngology/ ear nose and throat (ENT) society or association,801072640640.207,5538283.03791371
118,Zimbabwe,16,0.11,Professional otolaryngology/ ear nose and throat (ENT) society or association,438783773931.663,3002969.79519465
119,China,40000,2.84,Professional otolaryngology/ ear nose and throat (ENT) society or association,14914503629614.4,36905931.189924
120,"Taiwan, Republic of China",2650,11.24,Professional otolaryngology/ ear nose and throat (ENT) society or association,43200978374.2559,1035074.44982156
121,Hong Kong,180,2.41,Professional otolaryngology/ ear nose and throat (ENT) society or association,1308011398.13672,1218969.26214529
122,Afghanistan,,,,934649399849.828,6110457.12199244
123,American Samoa,,,,175458118.347656,67291.2023192918
124,Andorra,,,,934995585.942505,117137.526136259
125,Anguilla,,,,101736167.583984,52905.1765365115
126,Antarctica,,,,696611731267402,250272477.960154
127,Antigua and Barbuda,,,,592132421.867188,132436.248756601
128,Armenia,,,,51052102896.9668,1498401.75839746
129,Aruba,,,,210683482.936523,68847.5218874055
130,Austria,,,,184509505466.871,2793233.13981425
131,Azerbaijan,,,,282922399299.996,3579287.80741389
132,Azores,,,,4181400704.6543,774065.6331607
133,Bahamas,,,,14668851137.8516,2966088.37589133
134,Bahrain,,,,796150400.073242,198432.255723216
135,Barbados,,,,473605624.65625,92029.9217504353
136,Belarus,,,,587721541660.521,4330395.52166131
137,Belgium,,,,76131203132.4028,1617776.28945436
138,Benin,,,,120390668842.04,1916458.06068561
139,Bermuda,,,,30136424.2363281,46944.8461358473
140,Bonaire,,,,332926281.008789,93439.0368241846
141,Bosnia and Herzegovina,,,,100189908049.22,1679748.15225357
142,Botswana,,,,678808590772.145,3938709.11130748
143,Bouvet Island,,,,169409453.234131,49433.3502582553
144,British Indian Ocean Territory,,,,92525494.3007813,95176.1479606002
145,British Virgin Islands,,,,128893558.106445,72354.3026110899
146,Brunei Darussalam,,,,5821330275.36572,548500.249622785
147,Burkina Faso,,,,287116476496.907,3035839.09739337
148,Canarias,,,,9789921896.48047,1128245.48473702
149,Cayman Islands,,,,235450342.261719,82656.8361683242
150,Central African Republic,,,,631468161124.841,4712065.77884234
151,Christmas Island,,,,129000386.261719,45479.1006088329
152,Cocos Islands,,,,18893632.8945313,19959.3669360079
153,Comoros,,,,1803471043.96924,344913.277800707
154,Cook Islands,,,,173497356.9375,112785.3789066
155,Curacao,,,,497583632.311523,130452.057277475
156,Djibouti,,,,22502320061.7871,818288.095904892
157,Dominica,,,,833505312.393555,125284.792681819
158,Equatorial Guinea,,,,27129936670.9449,912139.782786813
159,Falkland Islands,,,,29925048084.3008,2490808.29462027
160,Faroe Islands,,,,6719946697.10889,907730.48811399
161,French Guiana,,,,84568499623.9572,1365875.83226622
162,French Polynesia,,,,2253585869.60059,443792.144132705
163,French Southern Territories,,,,17498663416.2441,1523130.90816062
164,Gabon,,,,262623049825.009,3593372.16100349
165,Gibraltar,,,,12058019.4333496,18579.0116824342
166,Glorioso Islands,,,,5152374.07519531,8910.57357529625
167,Greenland,,,,35224698700558.2,148338050.69313
168,Grenada,,,,364429911.185547,76880.0090914871
169,Guadeloupe,,,,1801568739.5918,288080.29742581
170,Guam,,,,612306318.099609,126794.800511487
171,Guernsey,,,,172061053.742676,53982.8415974766
172,Guinea-Bissau,,,,34983518654.3781,1936069.06100074
173,Heard Island and McDonald Islands,,,,1107715050.61719,160343.157762686
174,Hungary,,,,201146977185.683,2301612.32327296
175,Iceland,,,,574334308366.36,8671046.58395256
176,Iran,,,,2391333611006.46,9109868.27583363
177,Isle of Man,,,,1805151089.06885,189350.273077857
178,Jamaica,,,,12290339042.7598,608038.43277392
179,Jersey,,,,292072759.384277,73747.9160867711
180,Jordan,,,,122513580261.708,1936917.45008966
181,Juan De Nova Island,,,,6313203.93457031,10450.8066767286
182,Kyrgyzstan,,,,355863735988.289,4456112.49307801
183,Laos,,,,257380562195.721,4295264.47424895
184,Latvia,,,,215738283038.184,2738360.05768584
